smiles,group,fragment_smiles,attribution,attribution_normalized,pred_mean_mol,pred_mean_sub
CCCOC(=O)OCC(F)(F)C(F)F,test,FC(F)C(F)F,-0.1808815,-0.178934279,10.68527508,10.86615658
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,CC1CCCC1,-1.080582619,-0.793415053,10.2488699,11.32945251
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,C,-0.092596054,-0.092332318,10.2488699,10.34146595
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)F,0.017700195,0.017698347,10.2488699,10.2311697
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,O=CO,-0.113130569,-0.112650393,10.2488699,10.36200047
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,O=CO,-0.113130569,-0.112650393,10.2488699,10.36200047
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,c1ncncn1,-0.479934692,-0.446191306,11.08699894,11.56693363
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.32934761,-0.317934454,11.08699894,11.41634655
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.32934761,-0.317934454,11.08699894,11.41634655
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.32934761,-0.317934454,11.08699894,11.41634655
FC(F)(F)S(Br)=O,test,FC(F)(F)S(Br)=O,-1.334433556,-0.870328752,11.92998981,13.26442337
FC(F)(F)[AsH2],test,FC(F)(F)[AsH2],-0.666163445,-0.582450538,12.59825993,13.26442337
CC(C)=CC(=O)C(F)(F)F,test,CCC,-1.822851181,-0.949121934,10.64640808,12.46925926
CC(C)=CC(=O)C(F)(F)F,test,CC=O,-0.39248848,-0.37350354,10.64640808,11.03889656
CC(C)=CC(=O)C(F)(F)F,test,FC(F)F,0.031971931,0.031961042,10.64640808,10.61443615
FC(F)(F)C(F)(Cl)Br,test,FC(F)(F)C(F)(Cl)Br,-1.512187004,-0.907326391,11.75223637,13.26442337
FC(F)(I)C(F)(F)C#N,test,FC(F)C(F)(F)I,-1.377474785,-0.88038455,11.86359978,13.24107456
FC(F)(I)C(F)(F)C#N,test,C#N,-0.176766396,-0.174948017,11.86359978,12.04036617
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,CCO,-0.478671074,-0.445178687,11.66584969,12.14452076
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.362953186,-0.347812624,11.66584969,12.02880287
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,O=S(=O)O,-0.033873558,-0.033860608,11.66584969,11.69972324
FC(F)(F)C1CC(=O)N1,test,FC(F)F,0.022884369,0.022880375,11.0816946,11.05881023
FC(F)(F)C1CC(=O)N1,test,O=C1CCN1,-2.756596565,-0.991965986,11.0816946,13.83829117
