smiles,group,fragment_smiles,attribution,attribution_normalized,pred_mean_mol,pred_mean_sub
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,CC1CCCC1,0.001241684,0.001241683,4.84643507,4.845193386
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,C,-0.006065845,-0.006065771,4.84643507,4.852500916
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)F,0.060898304,0.060823133,4.84643507,4.785536766
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,O=CO,-0.16887188,-0.167284702,4.84643507,5.01530695
CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,test,O=CO,-0.16887188,-0.167284702,4.84643507,5.01530695
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,c1ncncn1,-1.333051443,-0.869993148,2.807509661,4.140561104
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.188703299,0.186494907,2.807509661,2.618806362
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.188702822,0.186494447,2.807509661,2.618806839
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.188703299,0.186494907,2.807509661,2.618806362
FC(F)(F)S(Br)=O,test,O=S(Br)C(F)(F)F,-3.613083124,-0.99854645,3.8007586,7.413841724
FC(F)(F)[AsH2],test,FC(F)(F)[AsH2],-1.053617954,-0.783208968,6.36022377,7.413841724
CC(C)=CC(=O)C(F)(F)F,test,CCC,-0.151431799,-0.150284795,2.700245619,2.851677418
CC(C)=CC(=O)C(F)(F)F,test,CC=O,-1.455724001,-0.89681892,2.700245619,4.15596962
CC(C)=CC(=O)C(F)(F)F,test,FC(F)F,-0.528000355,-0.483851068,2.700245619,3.228245974
FC(F)(F)C(F)(Cl)Br,test,FC(F)(F)C(F)(Cl)Br,-2.836517811,-0.993148721,4.577323914,7.413841724
FC(F)(I)C(F)(F)C#N,test,FC(F)C(F)(F)I,-1.327609539,-0.868663876,4.133874416,5.461483955
FC(F)(I)C(F)(F)C#N,test,C#N,-0.180756569,-0.178813345,4.133874416,4.314630985
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,CCO,-0.057921886,-0.057857198,7.535288811,7.593210697
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.127659321,-0.126970328,7.535288811,7.662948132
OC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(O)(=O)=O,test,O=S(=O)O,-1.559967041,-0.915415117,7.535288811,9.095255852
FC(F)(F)C1CC(=O)N1,test,FC(F)F,0.079053879,0.078889607,4.220923424,4.141869545
FC(F)(F)C1CC(=O)N1,test,O=C1CCN1,-7.146644592,-0.99999876,4.220923424,11.36756802
